epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,28.996,0.68018,1.20972,0.9814,0.75238,0.80668,0.83399,0.76467,0.50058,0.96143,0.85635,0.000522039,0.000522039,0.000522039
45,29.6111,0.69873,1.19027,0.98387,0.75238,0.80668,0.83399,0.76467,0.50058,0.96143,0.85635,0.00051304,0.00051304,0.00051304
46,30.2255,0.62616,1.13607,0.94675,0.75238,0.80668,0.83399,0.76467,0.50058,0.96143,0.85635,0.00050404,0.00050404,0.00050404
47,30.8735,0.62797,1.15847,0.97918,0.89424,0.82721,0.91393,0.8334,0.5003,0.88695,0.85734,0.000495041,0.000495041,0.000495041
48,31.5136,0.60935,1.16222,0.9409,0.89424,0.82721,0.91393,0.8334,0.5003,0.88695,0.85734,0.000486042,0.000486042,0.000486042
49,32.1442,0.60787,1.17779,0.92605,0.80222,0.93249,0.93043,0.84264,0.51527,0.90352,0.86607,0.000477043,0.000477043,0.000477043
50,32.7574,0.56912,1.07343,0.92953,0.80222,0.93249,0.93043,0.84264,0.51527,0.90352,0.86607,0.000468044,0.000468044,0.000468044
51,33.3934,0.57763,1.09539,0.93836,0.80222,0.93249,0.93043,0.84264,0.51527,0.90352,0.86607,0.000459045,0.000459045,0.000459045
52,34.0545,0.59636,1.14834,0.91793,0.85593,0.94046,0.93829,0.85595,0.48396,0.83674,0.85525,0.000450046,0.000450046,0.000450046
53,34.6876,0.61695,1.1462,0.95885,0.85593,0.94046,0.93829,0.85595,0.48396,0.83674,0.85525,0.000441047,0.000441047,0.000441047
54,35.2971,0.55524,1.08209,0.9208,0.85593,0.94046,0.93829,0.85595,0.48396,0.83674,0.85525,0.000432048,0.000432048,0.000432048
55,35.9332,0.55022,1.04361,0.92613,0.94678,0.9168,0.95618,0.87572,0.46006,0.78355,0.84385,0.000423049,0.000423049,0.000423049
56,36.5534,0.58133,1.06677,0.92675,0.94678,0.9168,0.95618,0.87572,0.46006,0.78355,0.84385,0.000414049,0.000414049,0.000414049
57,37.1963,0.60026,1.04045,0.93142,0.93345,0.9448,0.95796,0.88035,0.46532,0.78789,0.8462,0.00040505,0.00040505,0.00040505
58,37.8268,0.58828,1.01331,0.95211,0.93345,0.9448,0.95796,0.88035,0.46532,0.78789,0.8462,0.000396051,0.000396051,0.000396051
59,38.4423,0.58553,0.99968,0.92459,0.93345,0.9448,0.95796,0.88035,0.46532,0.78789,0.8462,0.000387052,0.000387052,0.000387052
60,39.0823,0.58595,0.93481,0.95245,0.88805,0.8864,0.96071,0.87145,0.48112,0.8347,0.84844,0.000378053,0.000378053,0.000378053
61,39.6903,0.5925,0.93451,0.92035,0.88805,0.8864,0.96071,0.87145,0.48112,0.8347,0.84844,0.000369054,0.000369054,0.000369054
62,40.3059,0.54712,1.00715,0.90746,0.88805,0.8864,0.96071,0.87145,0.48112,0.8347,0.84844,0.000360055,0.000360055,0.000360055
63,40.9467,0.61231,1.06814,0.91738,0.88713,0.89934,0.96357,0.87824,0.49174,0.79916,0.85625,0.000351056,0.000351056,0.000351056
64,41.5627,0.58271,0.95741,0.95431,0.88713,0.89934,0.96357,0.87824,0.49174,0.79916,0.85625,0.000342057,0.000342057,0.000342057
65,42.1973,0.60329,1.05212,0.9673,0.89272,0.88677,0.96554,0.87854,0.51522,0.79272,0.86891,0.000333058,0.000333058,0.000333058
66,42.8224,0.6399,1.06235,0.93622,0.89272,0.88677,0.96554,0.87854,0.51522,0.79272,0.86891,0.000324058,0.000324058,0.000324058
67,43.4284,0.59279,1.01262,0.93276,0.89272,0.88677,0.96554,0.87854,0.51522,0.79272,0.86891,0.000315059,0.000315059,0.000315059
68,44.0801,0.63119,1.09166,0.9504,0.89758,0.90075,0.96554,0.86464,0.52667,0.77529,0.87927,0.00030606,0.00030606,0.00030606
69,44.6965,0.61352,1.01312,0.92149,0.89758,0.90075,0.96554,0.86464,0.52667,0.77529,0.87927,0.000297061,0.000297061,0.000297061
70,45.3098,0.61094,1.01765,0.96266,0.89758,0.90075,0.96554,0.86464,0.52667,0.77529,0.87927,0.000288062,0.000288062,0.000288062
71,45.9665,0.60807,0.97116,0.93478,0.88746,0.91457,0.97143,0.88412,0.49416,0.74086,0.86725,0.000279063,0.000279063,0.000279063
72,46.615,0.60605,1.01074,0.96197,0.88746,0.91457,0.97143,0.88412,0.49416,0.74086,0.86725,0.000270064,0.000270064,0.000270064
73,47.2684,0.62545,0.96395,0.94476,0.79963,0.93439,0.96043,0.89669,0.43832,0.71397,0.84344,0.000261065,0.000261065,0.000261065
74,47.8986,0.57111,0.94661,0.92214,0.79963,0.93439,0.96043,0.89669,0.43832,0.71397,0.84344,0.000252066,0.000252066,0.000252066
75,48.5124,0.57769,0.88255,0.92285,0.79963,0.93439,0.96043,0.89669,0.43832,0.71397,0.84344,0.000243067,0.000243067,0.000243067
76,49.1587,0.5894,0.95798,0.92647,0.8086,0.93943,0.96043,0.89991,0.38452,0.66343,0.82775,0.000234068,0.000234068,0.000234068
77,49.7946,0.52125,0.93191,0.90715,0.8086,0.93943,0.96043,0.89991,0.38452,0.66343,0.82775,0.000225068,0.000225068,0.000225068
78,50.4222,0.55833,0.92616,0.94206,0.8086,0.93943,0.96043,0.89991,0.38452,0.66343,0.82775,0.000216069,0.000216069,0.000216069
79,51.0723,0.59702,0.88366,0.95906,0.84315,0.99687,0.97143,0.91757,0.36716,0.63955,0.82211,0.00020707,0.00020707,0.00020707
80,51.6987,0.6322,0.92885,0.96326,0.84315,0.99687,0.97143,0.91757,0.36716,0.63955,0.82211,0.000198071,0.000198071,0.000198071
81,52.332,0.62374,0.93483,0.96428,0.83065,1,0.97143,0.92117,0.36657,0.61899,0.81949,0.000189072,0.000189072,0.000189072
82,52.9583,0.57999,0.91724,0.92739,0.83065,1,0.97143,0.92117,0.36657,0.61899,0.81949,0.000180073,0.000180073,0.000180073
83,53.5766,0.60528,0.9542,0.89768,0.83065,1,0.97143,0.92117,0.36657,0.61899,0.81949,0.000171074,0.000171074,0.000171074
84,54.2169,0.51187,0.9124,0.90245,0.91735,0.93974,0.98321,0.92661,0.37291,0.60522,0.82008,0.000162075,0.000162075,0.000162075
85,54.8275,0.61572,0.88632,0.92946,0.91735,0.93974,0.98321,0.92661,0.37291,0.60522,0.82008,0.000153076,0.000153076,0.000153076
86,55.4423,0.5953,0.98852,0.92198,0.91735,0.93974,0.98321,0.92661,0.37291,0.60522,0.82008,0.000144077,0.000144077,0.000144077
87,56.1006,0.56982,1.0083,0.92003,0.94927,0.92618,0.98321,0.92958,0.37897,0.5904,0.82269,0.000135077,0.000135077,0.000135077
88,56.7255,0.53656,0.83013,0.89467,0.94927,0.92618,0.98321,0.92958,0.37897,0.5904,0.82269,0.000126078,0.000126078,0.000126078
89,57.3604,0.53165,0.94094,0.89095,0.96102,0.91967,0.98321,0.92719,0.38798,0.59143,0.82588,0.000117079,0.000117079,0.000117079
90,57.9677,0.56997,0.91692,0.90403,0.96102,0.91967,0.98321,0.92719,0.38798,0.59143,0.82588,0.00010808,0.00010808,0.00010808
91,71.3084,0.47317,0.78656,0.8592,0.96102,0.91967,0.98321,0.92719,0.38798,0.59143,0.82588,9.9081e-05,9.9081e-05,9.9081e-05
92,71.9309,0.47849,0.77424,0.86675,0.97279,0.91609,0.97614,0.92784,0.39504,0.5809,0.8282,9.00819e-05,9.00819e-05,9.00819e-05
93,72.55,0.49094,0.80947,0.85938,0.97279,0.91609,0.97614,0.92784,0.39504,0.5809,0.8282,8.10828e-05,8.10828e-05,8.10828e-05
94,73.1758,0.4941,0.9597,0.87328,0.97279,0.91609,0.97614,0.92784,0.39504,0.5809,0.8282,7.20837e-05,7.20837e-05,7.20837e-05
95,73.8064,0.50796,0.82459,0.91634,0.97677,0.91538,0.97614,0.91933,0.40184,0.57678,0.82968,6.30846e-05,6.30846e-05,6.30846e-05
96,74.4085,0.46188,0.77049,0.86436,0.97677,0.91538,0.97614,0.91933,0.40184,0.57678,0.82968,5.40855e-05,5.40855e-05,5.40855e-05
97,75.0383,0.50182,0.86872,0.88425,0.97665,0.91795,0.97143,0.91625,0.3992,0.56956,0.8309,4.50864e-05,4.50864e-05,4.50864e-05
98,75.6518,0.51487,0.84977,0.90614,0.97665,0.91795,0.97143,0.91625,0.3992,0.56956,0.8309,3.60873e-05,3.60873e-05,3.60873e-05
99,76.2513,0.45414,0.84655,0.85355,0.97665,0.91795,0.97143,0.91625,0.3992,0.56956,0.8309,2.70882e-05,2.70882e-05,2.70882e-05
100,76.8658,0.48985,0.79323,0.88268,0.97261,0.92266,0.97143,0.9217,0.39643,0.57215,0.83115,1.80891e-05,1.80891e-05,1.80891e-05
